record_id	age	workclass	fnlwgt	education	marital_status	occupation	relationship	race	sex	capital_gain	hours_per_week	native_country	label
0	8	2	6	8	2	0	0	4	1	1	4	38	1
1	9	2	13	14	2	9	0	4	1	1	6	10	1
2	1	2	14	11	4	7	4	4	1	0	4	38	0
3	14	2	14	9	0	11	1	4	1	0	6	38	0
4	1	2	10	11	4	3	3	4	0	0	4	38	0
5	0	2	3	1	4	5	3	4	1	0	0	38	0
6	4	2	15	11	0	10	1	4	1	0	4	38	0
7	0	2	15	0	4	7	3	4	1	0	1	38	0
8	5	2	15	15	2	11	0	4	1	0	5	38	0
9	5	3	4	11	2	2	0	4	1	0	5	38	1
10	13	2	3	5	2	4	0	4	1	0	5	38	0
11	9	0	0	15	2	3	0	4	1	0	6	38	1
12	11	2	3	8	2	2	0	4	1	0	4	1	0
13	10	1	9	12	4	9	1	4	1	0	3	38	0
14	11	0	8	12	0	3	1	4	1	0	4	38	1
15	15	2	5	11	6	0	1	4	1	0	0	38	0
16	3	2	14	9	4	0	3	4	0	0	4	25	0
17	6	2	4	15	6	0	4	4	0	0	4	38	0
18	13	2	12	0	2	5	0	4	1	0	5	38	0
19	2	2	14	11	4	3	3	4	0	0	5	38	0
20	10	3	1	15	4	3	1	2	1	0	5	38	0
21	10	2	15	15	0	11	1	4	1	0	6	38	1
22	10	2	11	5	2	6	5	4	0	0	4	5	0
23	9	1	3	11	0	0	3	4	1	0	4	38	0
24	1	2	15	11	4	5	3	4	1	0	4	38	0
25	6	2	7	11	4	2	3	4	1	0	4	38	0
26	2	2	1	9	4	0	1	4	0	0	4	38	0
27	6	2	4	15	0	13	1	4	1	0	4	38	0
28	1	2	12	15	4	9	3	4	0	0	2	38	0
29	15	5	9	11	2	7	0	4	1	0	4	38	0
30	3	2	9	15	4	7	3	4	1	0	2	1	0
31	11	2	2	15	2	2	0	4	1	0	4	38	1
32	8	2	7	9	3	13	1	3	1	0	7	18	0
33	2	2	0	15	4	5	3	4	1	0	0	38	0
34	2	2	7	15	4	5	1	4	1	0	4	38	0
35	6	3	9	11	2	3	0	4	1	0	4	38	0
36	13	2	3	15	6	11	1	4	0	0	4	38	0
37	2	2	1	9	4	11	3	4	1	0	6	38	0
38	12	2	9	7	0	2	1	4	1	0	4	38	0
39	9	2	6	15	0	6	4	4	0	0	4	38	0
40	6	2	13	15	4	0	4	1	0	0	3	38	0
41	11	0	13	7	0	0	4	4	0	0	4	38	0
42	9	4	1	15	2	7	5	4	0	0	0	38	1
43	12	2	7	10	2	9	0	4	1	0	7	38	1
44	7	2	12	4	3	2	2	4	1	0	4	25	0
45	5	5	2	11	0	10	3	3	1	0	4	38	0
46	6	2	7	7	0	11	4	2	0	0	5	38	0
47	3	2	0	11	5	5	4	4	0	0	4	23	0
48	10	2	4	9	2	11	0	4	1	0	4	38	1
49	14	2	14	11	2	2	0	4	1	0	4	38	0
50	2	2	15	15	4	9	1	2	1	0	4	38	0
51	9	2	9	15	0	11	1	4	1	0	5	38	0
52	14	2	12	0	2	2	0	4	1	1	4	38	1
53	12	2	9	9	0	0	3	4	1	0	3	38	1
54	14	4	1	11	2	11	0	4	1	0	6	38	1
55	8	2	13	11	2	2	0	4	1	0	4	38	0
56	10	4	1	8	2	13	0	4	1	1	7	38	1
57	7	5	9	11	2	2	0	4	1	0	4	38	0
58	6	2	14	11	2	2	0	4	1	0	4	38	0
59	3	2	15	11	4	5	3	4	1	0	6	38	0
60	1	2	8	9	4	9	1	4	1	0	6	38	0
61	15	2	2	15	6	7	1	4	0	0	1	38	0
62	6	3	0	11	2	2	0	4	1	1	4	38	1
63	15	4	3	11	2	4	0	4	1	0	7	38	0
64	10	5	3	12	2	3	0	4	1	0	4	38	0
65	13	2	5	15	2	2	0	4	1	1	4	38	1
66	15	1	5	11	2	3	0	4	1	0	0	38	0
67	12	5	1	10	2	9	5	4	0	0	5	38	1
68	4	4	10	11	4	2	1	4	1	0	6	38	0
69	9	2	7	9	2	12	0	4	1	0	5	38	1
70	13	3	4	8	2	3	0	4	1	0	4	11	1
71	7	2	6	15	0	11	4	4	0	0	4	38	0
