record_id	limit	sex	education	marriage	age	pay0	pay2	pay3	pay4	pay5	pay6	bill_amt1	bill_amt2	bill_amt3	bill_amt4	bill_amt5	bill_amt6	pay_amt1	pay_amt2	pay_amt3	pay_amt4	pay_amt5	pay_amt6	label
0	14	0	1	1	12	1	1	1	1	1	1	8	13	10	6	4	5	13	13	12	12	11	10	0
1	11	0	2	2	15	1	1	1	2	1	4	5	12	6	3	6	6	13	12	0	12	0	2	0
2	4	0	1	2	2	2	2	2	2	2	2	7	8	8	4	4	4	12	5	5	0	0	8	0
3	11	1	3	2	7	2	2	2	2	2	2	15	15	15	14	14	14	12	12	10	10	11	10	0
4	10	1	2	2	10	3	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0
5	11	0	2	1	12	0	0	0	0	0	0	1	1	2	1	1	1	1	1	0	0	0	1	0
6	10	1	1	2	5	2	2	2	2	2	2	10	10	10	9	6	7	10	10	10	8	9	1	0
7	6	1	2	1	8	1	1	0	0	0	0	3	1	1	1	1	1	0	0	0	0	0	0	0
8	3	0	3	0	8	4	4	4	4	4	4	10	10	11	10	11	11	6	5	5	6	6	6	0
9	3	0	2	2	1	3	4	4	4	4	4	10	10	10	10	10	10	6	1	7	6	5	6	0
10	2	1	3	1	13	3	0	0	1	2	2	1	1	1	5	6	6	0	0	11	1	1	2	0
11	11	0	1	1	14	4	6	5	5	4	4	15	15	15	14	14	14	0	11	0	0	12	8	0
12	2	0	1	2	7	1	5	4	1	2	2	9	9	9	8	8	1	0	0	12	1	0	0	1
13	3	0	3	1	10	7	6	5	4	2	2	11	11	11	10	10	11	0	0	0	0	0	0	0
14	2	1	1	1	14	2	2	2	2	2	2	9	9	10	9	10	10	5	4	5	6	6	6	0
15	3	0	3	2	15	2	2	2	2	2	2	10	10	9	5	5	6	6	6	1	1	1	2	0
16	13	1	2	1	6	1	1	1	1	1	1	7	3	7	9	10	10	4	13	12	12	12	12	0
17	3	1	3	1	6	3	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0
18	3	0	1	1	7	3	4	2	2	2	2	10	10	10	10	3	4	0	2	0	8	0	0	0
19	6	1	3	1	13	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0
20	9	0	1	2	8	3	0	1	2	2	0	0	0	3	2	0	0	0	7	0	0	0	0	1
21	5	0	1	2	2	2	1	2	2	1	2	3	2	3	2	1	2	2	2	2	1	3	3	1
22	2	1	3	1	15	5	4	4	9	9	9	3	3	3	2	3	3	0	0	0	0	0	0	1
23	1	1	2	1	11	2	2	2	2	2	1	5	5	5	5	4	2	3	7	0	0	4	1	0
24	6	1	3	1	10	2	2	2	2	2	2	11	12	12	11	11	11	7	8	7	7	6	6	0
25	4	0	2	2	3	3	4	4	4	4	4	11	12	12	11	12	12	10	8	5	8	6	9	1
26	12	1	1	2	4	1	1	1	1	0	1	6	5	3	1	1	3	10	3	0	0	4	0	1
27	9	1	1	2	3	1	1	1	4	4	4	5	1	3	3	3	3	0	6	0	0	0	0	0
28	3	0	1	1	3	4	4	4	4	2	2	10	10	10	10	10	10	8	5	0	5	6	8	1
29	8	1	1	2	14	3	0	1	1	0	1	0	0	3	1	1	2	0	3	0	0	2	1	0
30	2	1	2	1	0	2	2	2	2	2	2	8	9	9	8	7	7	3	4	3	2	3	3	0
31	1	1	2	1	7	2	2	2	4	4	4	5	5	6	5	6	6	5	6	1	8	0	2	1
32	4	1	1	2	4	3	4	2	2	2	4	4	4	4	3	3	1	0	2	1	3	0	3	0
33	3	0	3	1	12	2	2	2	2	2	2	4	7	7	6	7	7	12	3	1	2	1	1	0
34	5	1	3	1	14	2	2	2	2	2	2	13	13	13	12	12	12	8	8	7	8	9	6	0
35	3	1	3	1	10	2	2	2	2	2	2	10	10	11	8	9	8	6	5	3	2	2	7	0
36	9	1	1	1	14	1	1	1	1	1	1	2	1	3	3	1	3	0	6	8	0	5	4	1
37	14	1	2	1	6	3	1	1	1	2	2	1	4	4	10	10	4	10	9	12	0	0	8	0
38	3	1	3	1	14	2	1	1	1	1	2	2	2	3	1	2	2	1	4	1	2	0	1	0
39	12	0	1	1	15	2	2	0	0	0	0	15	1	1	1	1	1	0	0	0	0	0	0	0
40	10	1	3	1	3	2	2	0	1	1	0	4	1	1	2	1	1	0	0	2	0	0	0	0
41	3	0	2	1	15	2	2	2	2	2	2	10	10	8	8	8	8	3	4	3	2	3	3	0
