record_id	revolving_util	age	past_due	debt_ratio	income	lines	real_estate	dependents	label
0	11	4	1	13	6	13	1	1	0
1	13	1	0	14	2	5	1	0	0
2	10	3	1	14	8	13	1	0	0
3	9	9	0	6	3	8	1	0	0
4	11	9	1	4	15	8	2	3	0
5	14	12	0	14	2	10	0	0	0
6	4	6	0	3	11	9	1	2	0
7	5	7	1	15	1	13	2	0	0
8	6	10	1	12	13	8	2	0	0
9	1	1	0	5	11	8	1	1	0
10	14	2	0	4	1	0	0	0	0
11	10	10	0	13	3	4	1	1	0
12	0	8	0	15	1	12	3	0	0
13	0	7	0	12	3	8	1	0	0
14	10	1	0	15	0	8	2	1	0
15	3	8	0	9	15	9	1	0	0
16	4	11	0	10	9	11	1	0	0
17	9	13	0	14	6	5	3	0	0
18	12	13	0	11	11	12	0	1	0
19	11	12	0	12	4	6	2	0	0
20	4	14	0	9	11	7	2	0	0
21	3	2	0	2	11	4	0	1	0
22	6	6	0	10	4	4	1	0	0
23	10	6	0	11	15	13	2	0	0
24	0	9	0	5	7	5	1	1	0
25	5	3	0	7	14	10	2	2	0
26	10	0	1	5	6	8	0	1	0
27	6	7	1	8	9	13	2	3	0
28	0	8	0	7	11	9	2	3	0
29	7	8	0	3	9	3	1	0	0
30	4	4	0	15	6	7	3	1	0
31	6	9	0	15	0	12	1	0	0
32	8	7	0	11	14	8	2	0	0
33	7	2	0	10	7	7	1	3	0
34	9	6	0	8	13	10	2	1	0
35	12	1	0	10	3	5	1	1	0
36	14	1	0	2	5	4	0	0	1
37	4	12	0	15	0	5	0	0	0
38	3	10	1	15	0	13	2	0	0
39	6	15	0	1	11	8	0	0	0
40	7	8	0	11	14	13	2	0	1
41	9	4	1	4	8	7	0	0	0
42	5	9	0	10	3	7	1	1	0
43	6	15	0	8	6	12	2	0	0
44	10	5	0	14	2	2	2	2	0
45	0	1	1	0	4	4	0	0	0
46	4	9	0	2	15	11	0	1	0
47	12	14	0	12	10	2	1	0	0
48	0	4	0	8	2	9	0	0	0
49	2	3	0	3	13	10	0	0	0
50	4	14	0	8	9	13	3	0	0
51	6	9	1	14	14	13	3	3	1
52	10	6	0	15	0	10	2	2	1
53	11	2	0	10	4	4	0	0	0
54	14	11	1	12	9	3	2	0	1
55	4	9	0	4	10	5	1	1	0
56	3	11	0	8	4	6	2	0	0
57	9	15	1	7	11	11	1	0	0
58	5	3	0	7	10	5	1	2	0
59	1	14	0	10	5	11	0	0	0
60	1	10	0	10	5	3	1	0	0
61	0	2	0	6	14	8	2	2	0
62	0	5	0	12	5	5	2	1	0
63	8	7	0	9	9	10	2	3	0
64	2	4	1	7	11	5	1	0	1
65	0	15	0	0	6	2	0	0	0
66	9	7	0	9	7	9	0	1	0
67	0	1	0	12	8	8	2	2	0
68	9	13	0	13	1	5	0	0	0
69	7	15	0	2	7	7	0	1	0
70	14	0	0	0	2	0	0	0	0
71	0	3	0	5	5	4	2	0	0
72	14	14	0	6	11	9	1	0	0
73	10	7	1	11	4	9	2	2	0
74	1	3	0	3	1	12	0	0	0
75	1	13	0	6	4	8	1	1	0
76	2	7	0	5	10	11	0	0	0
77	8	4	0	8	7	9	1	3	0
78	1	11	0	6	12	10	2	1	0
79	8	11	0	10	12	8	2	1	0
80	14	2	0	0	2	0	0	2	0
81	5	6	0	12	11	10	1	0	0
82	10	14	0	5	13	10	2	0	0
83	14	7	1	13	10	5	1	0	0
84	12	15	0	9	5	5	0	1	0
85	10	3	1	3	14	6	0	0	0
86	14	2	1	14	8	12	1	1	1
87	2	7	0	14	2	10	1	2	0
88	2	10	0	8	12	13	1	2	0
