record_id	age	decile_score	priors_count	days_b_screening_arrest	is_recid	c_charge_degree	sex	age_cat	score_text	race	label
0	6	1	4	4	0	1	0	0	1	2	0
1	5	1	5	3	1	0	0	0	2	0	1
2	11	6	6	1	0	1	0	0	2	0	0
3	8	6	5	3	1	1	1	0	1	0	1
4	3	5	0	4	1	1	0	2	1	0	1
5	3	5	2	3	0	1	0	2	2	0	0
6	9	3	7	3	1	1	0	0	0	0	1
7	15	3	7	3	0	1	0	1	2	0	0
8	4	2	2	3	0	0	0	0	2	5	0
9	3	2	0	4	1	0	0	2	1	0	1
10	3	6	3	4	1	1	0	2	0	0	1
11	2	6	1	4	1	1	0	2	1	2	1
12	10	8	6	3	1	0	0	0	2	0	1
13	1	8	0	3	1	0	0	2	0	0	1
14	4	6	0	3	1	0	0	0	2	2	1
15	0	6	2	3	1	1	0	2	0	0	1
16	14	5	6	3	0	1	0	1	0	0	0
17	14	5	3	4	0	0	0	1	2	0	0
18	9	1	4	0	0	1	0	0	2	2	0
19	15	1	0	1	0	0	1	1	1	2	0
20	1	7	0	1	0	1	1	2	0	0	0
21	15	7	0	3	0	0	0	1	1	2	0
22	7	2	1	3	1	0	0	0	1	5	1
23	12	2	3	3	0	1	0	0	1	2	0
24	7	6	0	4	0	0	1	0	1	0	0
25	4	6	3	1	1	1	0	0	1	2	1
26	1	8	1	3	0	1	0	2	2	2	0
27	1	8	1	3	1	1	0	2	0	0	1
28	9	4	2	3	1	1	0	0	1	2	1
29	15	4	1	4	0	1	0	1	1	0	0
30	7	8	0	3	1	1	0	0	1	2	1
31	11	8	3	3	1	0	0	0	1	0	0
32	13	7	1	3	1	0	0	1	2	0	0
33	5	7	2	1	1	0	1	0	1	0	1
34	10	4	6	3	0	1	0	0	1	0	0
35	9	4	1	3	1	0	0	0	0	0	1
36	13	4	1	4	0	0	0	1	1	0	0
37	2	4	3	0	1	1	1	2	0	0	0
38	15	0	5	3	1	1	0	1	2	2	1
