record_id	administrative	administrative_duration	informational	informational_duration	product_related	product_related_duration	bounce_rates	exit_rates	page_values	special_day	month	operating_systems	browser	region	traffic_type	visitor_type	weekend	label
0	1	6	0	0	0	4	6	7	0	0	7	0	0	3	2	2	0	0
1	3	1	0	0	1	2	0	6	0	0	5	1	1	0	7	0	1	0
2	7	8	3	2	0	12	1	3	1	0	0	2	1	3	3	2	1	1
3	0	0	0	0	1	7	0	5	0	0	6	1	3	0	2	2	0	0
4	6	5	1	1	5	1	0	3	0	0	6	1	1	0	4	0	0	0
5	4	6	0	0	8	2	0	8	0	0	1	0	0	1	7	0	0	0
6	0	0	3	2	0	10	4	8	0	0	1	1	1	0	1	2	1	0
7	2	1	0	0	0	12	0	3	0	0	7	1	1	0	1	2	0	0
8	0	0	0	0	1	2	5	10	0	0	6	1	1	0	5	2	0	0
9	6	6	0	0	2	8	0	3	0	0	5	1	1	0	1	0	0	0
10	7	5	3	3	2	12	1	3	2	0	7	0	1	0	1	2	0	1
11	2	4	0	0	7	12	0	0	2	0	5	1	9	0	0	2	0	0
12	0	0	0	0	4	13	2	10	0	0	6	1	1	5	3	2	0	0
13	7	8	3	3	3	14	0	2	3	0	7	2	1	0	1	2	1	0
14	2	5	0	0	1	2	6	4	0	0	8	2	1	0	1	2	1	0
15	0	0	0	0	9	0	8	15	0	0	5	2	1	6	0	2	0	0
16	0	0	0	0	0	1	0	8	0	0	5	1	1	0	1	2	0	0
17	0	0	0	0	6	1	0	14	0	0	5	1	1	8	0	2	0	0
18	0	0	0	0	1	2	5	10	0	0	7	1	1	2	12	2	0	0
19	2	6	2	3	8	15	1	4	0	0	7	2	1	4	7	2	0	1
20	2	2	0	0	4	12	0	5	1	0	1	1	1	3	0	2	1	0
21	0	0	0	0	1	7	2	8	0	0	5	1	1	6	0	2	0	0
22	2	4	0	0	2	12	0	4	0	0	5	1	1	0	1	2	0	0
23	7	6	3	3	1	15	6	10	0	0	6	2	1	0	1	2	1	0
24	2	3	0	0	0	14	0	5	0	0	7	1	1	2	2	2	0	0
25	0	0	0	0	3	3	0	5	0	0	0	2	1	0	2	2	0	0
26	6	5	0	0	11	13	1	8	1	0	9	1	1	5	1	2	0	0
27	0	0	0	0	2	13	4	6	0	0	2	1	1	6	0	2	0	0
28	2	5	3	2	2	1	0	2	0	0	6	2	1	0	3	2	0	0
29	0	0	0	0	12	3	5	8	0	0	7	0	0	0	1	2	1	0
30	2	1	0	0	1	13	0	3	0	0	7	1	1	2	7	0	0	0
31	4	4	0	0	2	13	3	7	0	0	3	1	5	1	6	2	0	0
32	0	0	0	0	4	2	0	11	0	0	1	1	1	5	1	2	1	0
33	6	8	0	0	5	10	0	0	0	0	0	0	7	0	5	0	0	1
34	0	0	0	0	6	5	7	13	0	0	9	2	1	1	2	2	1	0
35	4	5	0	0	13	9	4	9	0	0	1	1	1	0	1	2	0	0
36	0	0	0	0	4	9	6	12	0	0	6	0	1	1	3	2	1	0
37	0	0	0	0	3	10	2	6	0	0	1	1	1	5	0	2	0	0
38	5	3	0	0	4	2	0	8	3	0	8	3	0	0	6	2	1	1
39	0	0	0	0	4	4	6	11	0	0	7	2	1	5	12	2	0	0
40	5	2	2	1	12	3	0	6	0	0	6	1	1	8	3	2	0	0
41	7	6	0	0	2	13	0	0	0	0	1	1	1	2	1	0	0	0
42	5	4	0	0	7	14	0	4	0	0	6	1	1	2	1	2	0	0
43	0	0	0	0	1	11	0	1	0	0	7	1	1	3	1	0	0	1
44	0	0	0	0	2	6	0	3	0	0	2	1	3	2	1	2	0	0
45	1	2	3	2	9	5	0	3	0	0	6	2	1	5	1	0	1	0
46	1	1	0	0	6	12	0	1	3	0	9	1	1	1	0	2	0	0
47	1	3	0	0	2	13	1	5	0	0	1	0	0	3	1	2	0	0
48	0	0	0	0	5	11	6	14	0	0	7	2	1	7	12	2	0	0
49	0	0	0	0	0	7	0	11	0	0	1	1	4	0	0	2	0	0
