record_id	limit	sex	education	marriage	age	pay0	pay2	pay3	pay4	pay5	pay6	bill_amt1	bill_amt2	bill_amt3	bill_amt4	bill_amt5	bill_amt6	pay_amt1	pay_amt2	pay_amt3	pay_amt4	pay_amt5	pay_amt6	label
0	1	1	2	2	2	2	2	4	4	2	2	6	7	7	6	7	7	7	4	0	2	2	2	1
1	6	2	2	1	12	4	4	4	2	2	2	14	14	14	13	13	13	10	0	9	8	9	8	1
2	7	1	3	2	5	2	2	2	2	2	2	5	6	4	4	6	8	10	7	7	11	9	7	0
3	13	1	2	1	10	0	0	0	1	1	0	1	1	3	2	1	4	0	2	6	0	9	11	0
4	6	1	1	2	5	2	2	4	2	2	2	13	13	13	9	9	10	13	0	4	4	5	5	0
5	14	2	1	2	5	3	1	4	1	1	1	7	3	3	2	2	3	8	0	3	4	3	0	0
6	4	2	3	1	2	2	2	2	2	2	2	11	11	11	10	10	11	6	5	4	5	6	4	0
7	14	1	2	1	10	2	2	2	2	1	2	10	11	11	10	10	10	13	12	10	12	12	10	0
8	1	1	2	2	9	2	2	2	4	2	2	6	7	8	7	7	7	3	8	0	3	3	3	0
9	7	2	3	1	13	4	4	4	4	4	2	6	6	6	5	5	6	2	1	1	0	1	1	1
10	0	1	1	2	9	3	4	5	4	2	2	5	6	6	5	5	5	6	0	0	1	4	0	1
11	11	2	2	1	7	1	1	1	1	1	1	5	2	6	4	4	2	1	12	10	10	1	10	0
12	13	2	1	2	5	1	1	1	2	2	2	6	5	4	5	4	6	11	9	11	9	11	11	0
13	14	1	1	1	11	3	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1
14	9	1	1	1	8	3	0	0	1	2	2	1	1	1	9	10	9	0	0	12	4	4	2	0
15	3	2	2	1	9	2	2	2	2	2	2	11	11	11	8	9	9	8	7	7	8	7	7	0
16	3	2	2	1	13	4	4	4	2	2	2	8	9	9	8	8	8	8	0	4	3	4	4	1
17	1	1	2	2	9	4	4	4	2	2	2	5	6	6	5	6	6	8	1	1	5	5	5	0
18	5	1	2	1	8	4	4	4	2	2	4	12	12	12	11	11	10	6	5	9	8	0	8	1
19	4	2	2	1	7	0	0	0	0	0	0	3	3	3	3	3	3	2	4	7	8	5	6	0
20	13	1	3	2	7	1	1	1	1	1	1	3	4	4	11	9	13	8	7	12	12	12	12	0
21	8	2	1	1	15	0	0	0	0	0	0	2	4	4	2	1	2	8	8	6	1	1	1	1
22	5	2	3	2	14	0	0	0	0	0	0	3	2	1	1	2	2	1	0	0	5	2	0	0
23	12	2	1	1	11	0	0	0	0	0	0	6	3	4	3	4	3	4	9	9	10	4	0	0
24	9	2	1	1	10	3	0	1	1	0	0	0	0	4	1	1	1	0	7	0	0	0	0	0
25	3	1	2	1	7	2	2	2	2	2	2	7	8	8	8	7	7	4	4	3	2	2	2	0
26	11	2	2	1	12	2	2	2	4	2	2	7	9	11	10	11	10	12	13	7	12	11	11	0
27	5	2	3	1	15	2	2	2	2	2	2	11	11	12	11	11	11	6	6	6	6	5	5	1
28	2	2	3	2	0	2	2	1	2	2	1	5	5	2	2	1	3	2	1	2	0	4	2	0
29	6	2	2	2	5	2	2	2	2	2	2	13	13	12	11	12	12	9	7	6	7	7	10	0
30	3	1	2	2	13	2	2	2	2	2	2	5	5	5	4	4	5	3	3	3	1	1	2	0
31	6	2	3	2	14	1	1	1	2	2	2	4	3	10	10	8	8	3	13	11	2	7	7	0
32	3	2	1	2	9	2	2	2	2	2	2	12	12	12	10	10	10	7	9	10	7	5	6	0
33	3	1	3	2	14	2	2	2	2	2	2	8	8	9	8	8	8	4	4	3	3	4	4	0
34	3	1	3	1	10	3	7	6	5	4	2	11	11	11	10	10	10	0	0	0	0	5	5	1
35	13	2	2	1	14	0	0	0	0	0	0	2	3	2	5	2	4	6	1	11	2	9	8	0
36	7	1	1	2	4	1	1	1	1	1	1	2	5	3	2	4	2	11	7	6	9	4	6	0
37	6	2	2	2	3	3	1	1	2	2	2	0	1	4	3	4	4	1	7	5	1	1	3	0
38	4	1	1	1	10	1	1	0	0	0	0	2	1	1	1	1	1	0	0	0	0	0	0	0
39	13	2	1	2	5	0	0	0	0	0	0	4	5	4	3	3	4	6	11	7	8	9	9	0
40	13	2	2	2	5	2	2	2	2	2	2	14	14	14	13	13	14	10	10	9	9	9	9	0
41	6	2	2	2	8	3	0	1	1	1	1	1	1	2	3	2	1	0	1	8	2	0	7	0
42	12	2	2	2	2	2	2	2	2	2	2	12	13	13	12	12	12	11	7	8	7	7	7	0
43	6	1	1	1	11	2	2	2	2	2	0	8	8	8	8	1	1	3	5	3	0	0	0	0
44	9	1	3	2	12	1	2	2	2	2	2	3	4	5	5	6	7	7	10	9	11	9	11	0
45	9	1	1	2	3	3	1	1	1	1	1	0	5	4	3	5	4	11	10	9	11	10	9	0
46	4	2	2	1	7	2	2	0	0	0	0	4	1	1	1	1	1	0	0	0	0	0	0	0
47	3	1	1	2	7	4	6	5	4	2	2	8	8	8	7	8	8	1	0	0	5	6	0	0
48	11	1	2	2	6	2	2	2	2	2	2	6	6	7	6	6	7	3	4	1	1	1	2	0
49	14	2	3	2	13	2	2	2	1	2	2	14	13	13	14	14	14	10	11	12	11	12	10	0
