record_id	age	fare	siblings	children	gender	pclass	label
0	4	1	0	0	1	3	0
1	12	13	1	1	1	1	1
2	6	0	0	0	1	3	0
3	0	9	1	1	0	3	1
4	1	11	1	0	0	2	1
5	6	8	1	0	1	3	0
6	15	13	0	1	1	1	0
7	9	9	1	0	0	3	0
8	10	8	1	0	0	3	1
9	1	6	1	0	0	3	1
10	15	14	1	0	0	1	1
11	0	9	1	1	1	2	1
12	6	6	0	0	1	2	0
13	13	10	1	0	0	2	0
14	13	8	0	1	0	3	0
15	2	12	5	2	0	3	0
16	7	4	0	0	0	3	1
17	6	3	0	0	1	3	0
18	11	0	0	0	1	3	0
19	13	2	0	0	0	3	0
20	2	14	8	2	1	3	0
21	10	9	1	0	1	2	0
22	9	9	3	0	0	2	1
23	6	3	0	0	0	3	1
24	4	4	0	0	1	3	0
25	11	10	0	0	1	1	1
26	8	6	0	0	1	2	0
27	1	11	4	1	1	3	0
28	11	1	0	0	1	3	0
29	5	12	1	2	0	2	1
30	5	3	0	0	0	3	1
31	3	3	1	0	0	3	1
32	4	2	0	0	1	3	0
33	10	5	0	0	1	3	0
34	1	9	0	0	1	3	0
35	12	12	1	5	0	3	0
36	13	11	0	0	1	1	0
37	14	5	0	0	1	3	0
38	6	0	0	0	1	3	1
39	3	15	1	0	1	1	0
40	12	14	1	1	0	1	1
41	7	8	1	0	1	3	0
42	3	5	0	0	1	3	0
43	5	15	3	2	0	1	1
44	15	14	1	0	0	1	1
45	4	5	0	0	1	3	0
46	10	14	2	0	1	2	0
47	9	10	0	0	1	3	0
48	14	0	0	0	1	3	0
49	3	2	0	0	1	3	1
50	6	7	0	0	1	2	0
51	11	14	0	2	0	1	1
52	5	5	0	0	1	3	0
53	0	8	1	1	1	3	1
54	6	8	0	2	0	2	1
55	7	3	0	0	1	3	0
56	6	7	0	0	0	2	0
57	9	10	1	1	0	2	1
58	6	14	0	0	0	1	1
59	6	0	0	0	1	3	0
60	13	3	0	0	1	3	0
61	8	1	0	0	0	3	1
62	5	7	0	0	0	2	1
63	8	10	1	0	0	2	1
64	8	14	1	0	1	1	0
65	5	2	0	0	0	3	1
66	12	12	1	1	0	2	1
67	7	5	2	0	1	3	0
68	9	4	0	0	1	3	1
69	4	8	1	0	1	3	0
70	3	8	1	0	0	3	0
71	1	12	2	2	0	3	0
72	11	11	1	2	1	2	0
73	12	3	0	0	1	3	0
74	3	7	0	0	1	2	0
75	4	1	0	0	1	3	1
76	11	13	1	0	0	1	1
77	9	2	0	0	1	3	0
78	13	0	0	0	1	3	0
79	15	5	0	0	1	3	0
80	0	12	4	2	1	3	1
81	4	0	0	0	1	2	0
82	13	1	0	0	1	3	0
83	5	3	0	0	1	3	0
84	11	0	0	0	1	3	0
85	15	12	0	0	1	1	0
86	11	8	1	0	0	3	1
87	3	6	0	0	1	2	0
88	9	3	0	0	1	3	0
89	13	13	1	0	0	1	1
90	4	1	0	0	1	3	0
91	11	5	0	0	1	3	0
92	4	5	0	0	1	3	0
93	9	10	1	1	0	3	0
94	11	10	1	0	0	2	1
95	4	4	0	0	1	3	0
96	4	1	0	0	1	3	0
97	9	6	0	0	0	3	1
98	3	8	0	1	0	3	0
99	3	1	0	0	1	3	0
100	9	7	0	0	1	2	1
101	13	10	1	1	0	2	1
102	3	0	0	0	1	2	0
103	1	8	1	1	1	3	1
104	8	2	0	0	1	3	0
105	9	13	1	0	1	1	0
106	15	10	0	0	1	1	0
107	6	7	0	0	1	2	0
108	4	2	0	0	0	3	1
109	14	12	1	3	0	3	0
110	14	2	0	0	1	3	0
111	3	2	0	0	1	3	0
112	10	3	0	0	1	3	0
113	10	9	0	1	0	2	1
114	14	15	1	1	0	1	1
115	15	2	0	0	1	3	0
116	6	9	0	2	0	3	1
117	5	1	0	0	1	3	0
118	3	6	0	0	1	2	0
119	6	7	0	0	1	2	0
120	13	15	1	0	0	1	1
121	4	14	0	0	1	2	0
122	13	7	0	0	1	2	1
123	1	9	0	1	0	2	1
124	9	15	0	0	0	1	1
125	6	10	2	1	0	2	1
126	6	13	0	0	0	1	1
127	10	8	1	0	0	3	1
128	1	4	0	0	0	3	1
129	10	11	1	0	1	2	0
130	15	14	0	1	0	1	1
131	6	10	1	0	0	2	1
132	10	7	0	0	0	2	1
133	11	9	1	1	0	3	1
134	14	10	0	1	0	2	1
135	5	6	0	0	1	2	0
136	5	3	0	0	1	3	0
137	14	12	0	0	1	1	0
138	8	3	0	0	1	3	0
139	15	11	0	0	1	1	0
140	9	13	1	0	1	1	1
141	11	9	1	2	1	3	0
142	1	12	5	2	1	3	0
143	12	14	1	0	1	1	1
144	5	2	0	0	0	3	1
145	12	8	0	0	0	2	1
146	14	12	1	0	0	1	1
147	13	8	0	1	1	3	0
148	7	6	0	0	0	2	1
149	12	5	0	0	1	3	0
